id,type,component,products,productCount,rho,contextsTested,activeContexts,inactiveContexts,alphaBar,qControlledActivePerturbations,piBarPerturbed,evidence
N1,NODE,depd@2.0.0,P1;P2;P3,3,0.75,9,5,4,0.5555555555555556,1,0.5555555555555556,Existing depd activation/perturbation experiments across P1/P2/P3; P4 does not structurally contain depd@2.0.0.
E1,EDGE,debug@2.6.9 -> ms@2.0.0,P2;P3;P4,3,0.75,6,3,3,0.5,1,0.5,Earlier P2/P3 debug->ms experiments plus pre-specified P4 Connect activation and propagation validation.
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,P1;P3,2,0.5,4,2,2,0.5,1,0.5,"Existing P1/P3 on-finished@2.4.1 -> ee-first@1.1.1 experiments. P4 has on-finished@2.3.0, so it is not counted as the same exact edge."
