"productId","product","workload","depdLoaded","depdLoadRequests","depdFactoryCalls","depdInvoked","deprecationInvocations","loadParents","namespaces","messages","statusCode","error"
"P1","Express","EXPRESS_REQUIRE_ONLY","true","4","4","false","0","[""node_modules/http-errors/index.js"",""node_modules/router/lib/layer.js"",""node_modules/router/index.js"",""node_modules/express/lib/response.js""]","[""http-errors"",""router"",""express""]","[]","",""
"P1","Express","EXPRESS_NORMAL_REDIRECT","true","4","4","false","0","[""node_modules/http-errors/index.js"",""node_modules/router/lib/layer.js"",""node_modules/router/index.js"",""node_modules/express/lib/response.js""]","[""http-errors"",""router"",""express""]","[]","302",""
"P1","Express","EXPRESS_DEPRECATED_REDIRECT_NO_URL","true","4","4","true","2","[""node_modules/http-errors/index.js"",""node_modules/router/lib/layer.js"",""node_modules/router/index.js"",""node_modules/express/lib/response.js""]","[""http-errors"",""router"",""express""]","[""Provide a url argument"",""Url must be a string""]","302",""
"P2","express-session","SESSION_VALID_OPTIONS","true","2","2","false","0","[""node_modules/express-session/index.js"",""node_modules/express-session/session/cookie.js""]","[""express-session""]","[]","",""
"P2","express-session","SESSION_MISSING_RESAVE_AND_SAVEUNINITIALIZED","true","2","2","true","2","[""node_modules/express-session/index.js"",""node_modules/express-session/session/cookie.js""]","[""express-session""]","[""undefined resave option; provide resave option"",""undefined saveUninitialized option; provide saveUninitialized option""]","",""
"P2","express-session","SESSION_MISSING_SECRET","true","2","2","true","1","[""node_modules/express-session/index.js"",""node_modules/express-session/session/cookie.js""]","[""express-session""]","[""req.secret; provide secret option""]","",""
"P3","Morgan","MORGAN_COMBINED","true","1","1","false","0","[""node_modules/morgan/index.js""]","[""morgan""]","[]","",""
"P3","Morgan","MORGAN_UNDEFINED_FORMAT","true","1","1","true","1","[""node_modules/morgan/index.js""]","[""morgan""]","[""undefined format: specify a format""]","",""
"P3","Morgan","MORGAN_LEGACY_OPTIONS_OBJECT","true","1","1","true","1","[""node_modules/morgan/index.js""]","[""morgan""]","[""morgan(options): use morgan(\""combined\"", options) instead""]","",""
