productId,label,root,packageNodeInstances,exactIdentities,nonRootPhysicalEdges,rootDirectEdges,totalEdgesIncludingRoot,physicalDAG,maxDepthIncludingRoot,duplicatePackageNames,unresolvedDependencies
P1,Express,product-express@1.0.0,68,66,124,1,125,YES,12,1,0
P2,express-session,product-session@1.0.0,11,11,10,1,11,YES,3,0,0
P3,Morgan,product-morgan@1.0.0,9,9,8,1,9,YES,3,0,0
P4,Connect,product-connect@1.0.0,12,12,13,1,14,YES,4,0,0
