productId,product,N1,E1,E2
P1,Express,Studied in depd experiments,Exact edge absent,Studied in activation/propagation experiments
P2,express-session,Studied in depd experiments,Studied in debug->ms experiments,Exact edge absent
P3,Morgan,Studied in depd experiments,Studied in debug->ms and multi-hop experiments,Studied in on-finished->ee-first and multi-hop experiments
P4,Connect,Exact node absent,Pre-specified activation + propagation validation PASS,Exact 2.4.1 edge absent; P4 has on-finished@2.3.0
