productId,product,N1,E1,E2,E3
P1,Express,Studied in depd activation/perturbation experiments,Exact edge absent,Studied in activation/propagation and multi-hop experiments,Pre-specified Router activation + propagation validation PASS
P2,express-session,Studied in depd activation/perturbation experiments,Studied in debug->ms activation/propagation experiments,Exact edge absent,Exact edge absent
P3,Morgan,Studied in depd activation/perturbation experiments,Studied in debug->ms and multi-hop experiments,Studied in on-finished->ee-first and multi-hop experiments,Exact edge absent
P4,Connect,Exact node absent,Pre-specified activation + propagation validation PASS,Exact 2.4.1 edge absent; P4 has on-finished@2.3.0,Exact edge absent
P5,compression,Exact node absent,Pre-specified activation + propagation validation PASS,Exact edge absent,Exact edge absent
P6,Socket.IO,Exact node absent,Exact edge absent,Exact edge absent,Pre-specified Engine.IO activation + propagation validation PASS
