componentId,componentType,component,activationMechanism,membershipProducts,membershipCount,ecosystemProductCount,topologyReachRho,testedRows,uniqueContexts,activeContexts,inactiveContexts,perturbedRows,activePerturbedRows,impactedPerturbedRows,alphaBarTestedContexts,qBarActivePerturbations,piBarPerturbedGroups,alphaMin,alphaMax,qMin,qMax,piMin,piMax
N1,NODE,depd@2.0.0,workload-conditioned invocation,P1|P2|P3,3,3,1,45,9,5,4,36,20,20,0.5555555555555556,1,0.5555555555555556,0,1,1,1,0,1
E1,EDGE,debug@2.6.9 -> ms@2.0.0,configuration-conditioned downstream execution,P2|P3,2,3,0.6666666666666666,16,4,2,2,12,6,6,0.5,1,0.5,0,1,1,1,0,1
E2,EDGE,on-finished@2.4.1 -> ee-first@1.1.1,workload-conditioned downstream execution,P1|P3,2,3,0.6666666666666666,16,4,2,2,12,6,6,0.5,1,0.5,0,1,1,1,0,1
