"edge","source","target","productCount","products","productIds","occurrencesByProduct"
"debug@2.6.9 -> ms@2.0.0","debug@2.6.9","ms@2.0.0","2","[""Morgan"",""express-session""]","[""P2"",""P3""]","{""P2"":1,""P3"":1}"
"on-finished@2.4.1 -> ee-first@1.1.1","on-finished@2.4.1","ee-first@1.1.1","2","[""Express"",""Morgan""]","[""P1"",""P3""]","{""P1"":1,""P3"":1}"
