"packageName","productCount","products","versions","versionsByProduct"
"debug","3","[""P1"",""P2"",""P3""]","[""2.6.9"",""4.4.3""]","{""P1"":[""4.4.3""],""P2"":[""2.6.9""],""P3"":[""2.6.9""]}"
"ms","3","[""P1"",""P2"",""P3""]","[""2.0.0"",""2.1.3""]","{""P1"":[""2.1.3""],""P2"":[""2.0.0""],""P3"":[""2.0.0""]}"
"cookie-signature","2","[""P1"",""P2""]","[""1.0.7"",""1.2.2""]","{""P1"":[""1.2.2""],""P2"":[""1.0.7""]}"
"safe-buffer","2","[""P2"",""P3""]","[""5.1.2"",""5.2.1""]","{""P2"":[""5.2.1""],""P3"":[""5.1.2""]}"
