"key","name","version","productCount","products","productIds","instancesByProduct","minimumDepthByProduct"
"depd@2.0.0","depd","2.0.0","3","[""Express"",""Morgan"",""express-session""]","[""P1"",""P2"",""P3""]","{""P1"":1,""P2"":1,""P3"":1}","{""P1"":2,""P2"":2,""P3"":2}"
"cookie@0.7.2","cookie","0.7.2","2","[""Express"",""express-session""]","[""P1"",""P2""]","{""P1"":1,""P2"":1}","{""P1"":2,""P2"":2}"
"debug@2.6.9","debug","2.6.9","2","[""Morgan"",""express-session""]","[""P2"",""P3""]","{""P2"":1,""P3"":1}","{""P2"":2,""P3"":2}"
"ee-first@1.1.1","ee-first","1.1.1","2","[""Express"",""Morgan""]","[""P1"",""P3""]","{""P1"":1,""P3"":1}","{""P1"":3,""P3"":3}"
"ms@2.0.0","ms","2.0.0","2","[""Morgan"",""express-session""]","[""P2"",""P3""]","{""P2"":1,""P3"":1}","{""P2"":3,""P3"":3}"
"on-finished@2.4.1","on-finished","2.4.1","2","[""Express"",""Morgan""]","[""P1"",""P3""]","{""P1"":1,""P3"":1}","{""P1"":2,""P3"":2}"
"on-headers@1.1.0","on-headers","1.1.0","2","[""Morgan"",""express-session""]","[""P2"",""P3""]","{""P2"":1,""P3"":1}","{""P2"":2,""P3"":2}"
"parseurl@1.3.3","parseurl","1.3.3","2","[""Express"",""express-session""]","[""P1"",""P2""]","{""P1"":1,""P2"":1}","{""P1"":2,""P2"":2}"
